title	label	URL
Large White Bean, Tuna and Spinach Salad	w	http://cooking.nytimes.com//recipes/1014616-large-white-bean-tuna-and-spinach-salad
Smashed and Loaded Crispy Potatoes	w	http://www.bonappetit.com/recipe/smashed-and-loaded-crispy-potatoes
Margarita	w	http://cooking.nytimes.com//recipes/1016358-margarita
Nita's Crazy Cake	w	http://www.bonappetit.com/recipe/nita-s-crazy-cake
Warm Apple-Cornmeal Upside-Down Cake	w	http://www.bonappetit.com/recipe/warm-apple-cornmeal-upside-down-cake
Tofu ‘Chorizo’	nw	http://cooking.nytimes.com//recipes/1016639-tofu-chorizo
Grand Fruit Salad	w	http://www.bonappetit.com/recipe/grand-fruit-salad
Onion Soup with Apple Cider	w	http://www.bonappetit.com/recipe/onion-soup-with-apple-cider
Mexican Beef Soup with Beans and Bacon	nw	http://www.bonappetit.com/recipe/mexican-beef-soup-with-beans-and-bacon
Flaky Bread (Malawah)	nw	http://www.bonappetit.com/recipe/flaky-bread
Crispy Calamari, Lemon and Maitake Salad Over Arugula	w	http://cooking.nytimes.com//recipes/1013524-crispy-calamari-lemon-and-maitake-salad-over-arugula
Cucumber Raita	w	http://cooking.nytimes.com//recipes/1015024-cucumber-raita
Grilled Veal Chops with Warm Tomato-Olive Vinagrette	w	http://www.bonappetit.com/recipe/grilled-veal-chops-with-warm-tomato-olive-vinagrette
Onion Jam	w	http://www.bonappetit.com/recipe/onion-jam
Cherry Lane	w	http://www.bonappetit.com/recipe/cherry-lane
Cabbage-and-Caraway Slaw	w	http://cooking.nytimes.com//recipes/1015128-cabbage-and-caraway-slaw
Grilled Pitas with Tomatoes, Olives, and Feta	w	http://www.bonappetit.com/recipe/grilled-pitas-with-tomatoes-olives-and-feta
Italian-Style Salsa Verde	w	http://www.bonappetit.com/recipe/italian-style-salsa-verde
Pantry Pasta	w	http://www.bonappetit.com/recipe/pantry-pasta
Soju and Tonic With Lemon-Lime Syrup	nw	http://cooking.nytimes.com//recipes/1017458-soju-and-tonic-with-lemon-lime-syrup
One-Pot Zucchini-Basil Pasta	w	http://cooking.nytimes.com//recipes/1020395-one-pot-zucchini-basil-pasta
Seafood Pasta With Tomato and Crushed Olives	w	http://cooking.nytimes.com//recipes/1019562-seafood-pasta-with-tomato-and-crushed-olives
Winter Vegetable and Beef Soup	w	http://www.bonappetit.com/recipe/winter-vegetable-and-beef-soup
Roasted Spring Onions	nw	http://www.bonappetit.com/recipe/roasted-spring-onions
Crispy Cornmeal-Bacon Waffles	w	http://www.bonappetit.com/recipe/crispy-cornmeal-bacon-waffles
Brown Butter–Fried Onion Rings	w	http://www.bonappetit.com/recipe/brown-butter-fried-onion-rings
East 62nd Street Lemon Cake	w	http://cooking.nytimes.com//recipes/1019169-east-62nd-street-lemon-cake
Fifty-Fifty Martini	w	http://www.bonappetit.com/recipe/fifty-fifty-martini
Chile-Garlic Cucumbers	nw	http://www.bonappetit.com/recipe/chile-garlic-cucumbers
Crispy Potato Skins	w	http://www.bonappetit.com/recipe/crispy-potato-skins
Vegetable-Cheese Soup	w	http://www.bonappetit.com/recipe/vegetable-cheese-soup
Coconut-Roasted Sweet Potatoes and Collard Greens	nw	http://www.bonappetit.com/recipe/coconut-roasted-sweet-potatoes-collard-greens
Ricotta Tart With Lemon Poppy Crust	w	http://cooking.nytimes.com//recipes/1017401-ricotta-tart-with-lemon-poppy-crust
Braised Beets With Butter and Dill	w	http://cooking.nytimes.com//recipes/1015272-braised-beets-with-butter-and-dill
Green Gazpacho	w	http://www.bonappetit.com/recipe/green-gazpacho
Baked Oysters with Bacon and Leeks	w	http://www.bonappetit.com/recipe/baked-oysters-with-bacon-and-leeks
Cornbread and Salami Dressing	w	http://www.bonappetit.com/recipe/cornbread-and-salami-dressing
Grilled Lemon-Parsley Veal Chops	w	http://www.bonappetit.com/recipe/grilled-lemon-parsley-veal-chops
Ellen’s Lemon Basil Salad Dressing	w	http://cooking.nytimes.com//recipes/1013301-ellens-lemon-basil-salad-dressing
Grilled Broccoli	w	http://cooking.nytimes.com//recipes/1017454-grilled-broccoli
Glazed Chocolate–Crème Fraîche Cookies	w	http://www.bonappetit.com/recipe/glazed-chocolate-creme-fraiche-cookies
Crystal Clear Milk Punch	w	http://www.bonappetit.com/recipe/crystal-clear-milk-punch
Chowder-Soaked Toast	w	http://cooking.nytimes.com//recipes/1018768-chowder-soaked-toast
Cilantro Slaw	w	http://www.bonappetit.com/recipe/cilantro-slaw
Hot Honey	w	http://www.bonappetit.com/recipe/hot-honey
The Said and Done	w	http://cooking.nytimes.com//recipes/12854-the-said-and-done
Potato Soup with Kale and Chorizo	w	http://www.bonappetit.com/recipe/potato-soup-with-kale-and-chorizo
